Resource ID;Consumer ID
4;32
6;32
20;32
25;32
27;32
31;32
4;33
6;33
20;33
25;33
27;33
31;33
4;34
5;34
6;34
13;34
15;34
16;34
20;34
23;34
25;34
27;34
31;34
4;35
6;35
7;35
20;35
25;35
27;35
31;35
32;36
33;36
35;36
36;36
39;36
40;36
41;36
43;36
44;36
45;36
46;36
48;36
49;36
50;36
51;36
52;36
1;37
4;37
5;37
6;37
10;37
11;37
13;37
15;37
16;37
19;38
20;37
23;37
25;37
27;37
31;37
1;38
2;38
4;38
5;38
6;38
7;38
9;38
10;38
11;38
13;38
14;38
15;38
16;38
17;38
18;38
20;38
21;38
22;38
23;38
24;38
25;38
27;38
30;38
31;38
32;38
33;38
44;38
4;39
6;39
20;39
25;39
27;39
31;39
4;40
6;40
7;40
20;40
25;40
27;40
31;40
4;41
6;41
19;42
20;41
25;41
27;41
31;41
1;42
2;42
4;42
5;42
6;42
10;42
11;42
13;42
14;42
15;42
16;42
18;42
20;42
22;42
23;42
25;42
27;42
31;42
4;43
6;43
20;43
25;43
27;43
31;43
4;44
6;44
20;44
25;44
27;44
31;44
4;45
6;45
19;46
20;45
25;45
27;45
31;45
1;46
2;46
4;46
5;46
6;46
10;46
11;46
13;46
15;46
16;46
20;46
23;46
25;46
27;46
31;46
32;47
33;47
35;47
36;47
39;47
40;47
41;47
43;47
44;47
45;47
46;47
47;47
48;47
49;47
50;47
51;47
52;47
4;48
6;48
20;48
25;48
27;48
31;48
4;49
6;49
20;49
25;49
27;49
31;49
4;50
6;50
20;50
25;50
27;50
31;50
4;51
6;51
20;51
25;51
27;51
31;51
32;52
33;52
35;52
36;52
39;52
40;52
41;52
43;52
44;52
45;52
46;52
48;52
49;52
50;52
51;52
52;52
16;53
32;53
33;53
34;53
35;53
36;53
37;53
38;53
39;53
40;53
41;53
43;53
44;53
45;53
46;53
47;53
48;53
49;53
50;53
51;53
52;53
53;53
34;54
36;54
37;54
38;54
42;54
46;54
47;54
52;54
53;54
34;55
36;55
37;55
38;55
42;55
46;55
47;55
52;55
53;55
34;56
36;56
37;56
38;56
42;56
46;56
47;56
52;56
53;56
54;56
55;56
56;56
